,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
04/04/2023 17:09:42,23.4375,31.25,22.6810513,17.1875,14.8941517,15.625,20.8458672,64,67,58,54,48,61,61,4187.09,4187.09,3888.012,4187.09,4187.09,4187.09,37.8198357,35.5280037,0.004293889,0.8059629,99.69261,18.5636444,5.894264,25.8573875,36,1350.00012,6000.98438,0,0,0,0,0,4096,187.1914,3908.80859,4.57010269,14.776001,0,0,27,32.40798
04/04/2023 17:09:43,21.2053528,11.0491037,20.0721149,13.28125,12.6262608,10.9995,14.8722649,60,53,55,52,57,54,60,3788.31982,3888.01245,4187.09033,4187.09033,4486.16846,4286.783,30.115387,27.74161,0.0219823588,0.8894303,99.69263,18.1679382,5.76861954,25.9830322,36,405.000031,405.000031,0,0,0,0,0,4096,187.1914,3908.80859,4.57010269,14.838,0,0.9765625,27,32.40798
04/04/2023 17:09:44,25.6610565,22.5360565,48.0090752,28.90625,20.9014416,16.40625,27.0700226,58,51,79,63,61,60,78,3987.70483,4187.09033,4087.39746,4087.39746,4187.09033,3987.70483,40.8110657,37.54017,0.237837031,1.375416,99.69263,18.2957,5.809185,25.9424667,37,1350.00012,6000.98438,0,0,0,0,0,4096,192.585938,3903.414,4.701805,14.838,0,0,27,32.40798
04/04/2023 17:09:45,9.375,5.58115864,19.4128761,9.677422,7.25806952,42.1998978,15.5840693,48,45,49,51,48,77,77,4486.16846,4187.091,4187.091,4187.091,4187.091,4486.16846,31.26313,28.9298458,0.0278170425,0.859771848,99.6926346,18.3154144,5.815445,25.9362068,37,1350.00012,6000.98438,0,0,0,0,0,4096,192.585938,3903.414,4.701805,14.852,0,0,27,32.40798
04/04/2023 17:09:46,14.0748978,16.3352242,36.71875,15.2935619,8.356643,31.9110565,20.44835,74,60,56,51,50,51,74,3888.01221,3987.70483,4087.39746,4187.09033,4187.09033,4386.47559,36.84388,34.4013252,0.0113478648,1.04633439,99.69262,18.4244919,5.85007858,25.9015732,38,405.000031,405.000031,0,0,0,0,0,4096,192.585938,3903.414,4.701805,14.934001,0,0,27,32.40798
04/04/2023 17:09:47,3.90625,20.1220989,28.4598236,28.9186478,1.56288147,8.59375,15.2605715,55,59,54,64,55,54,64,4286.78271,4187.09033,4386.475,4187.09033,4286.78271,4286.78271,34.0280457,30.6650772,0.00286578666,0.8935767,99.69262,18.6544189,5.923088,25.8285637,37,345.000031,405.000031,0,0,0,0,0,4096,192.585938,3903.414,4.701805,1.393,0,0,27,32.40798
04/04/2023 17:09:48,17.8365345,33.56532,25.9462719,13.1490345,10.21825,27.34375,21.3432,51,74,49,51,52,50,74,4286.78271,4585.86035,4286.78271,3888.012,3987.70459,3888.012,38.2389259,34.5597878,0.133119076,1.24985027,99.69262,18.8734665,5.99263763,25.7590141,37,300,405.000031,0,0,0,0,0,4096,197.394531,3898.60547,4.81920242,1.593,1.953125,0,27,32.40798
04/04/2023 17:09:49,49.97772,56.72878,60.44144,50.67568,51.6666641,51.68421,53.5290833,71,70,79,75,78,75,78,3788.319,3788.319,3788.319,3788.319,3788.319,3788.319,54.6704025,50.4777145,0.2945422,2.09272575,99.69261,20.351738,6.46201324,25.2896385,39,1350.00012,6000.98438,0,3,0,0,0,4096,212.039063,3883.961,5.176735,14.9220009,0.9765625,0,27,32.40798
04/04/2023 17:09:50,81.8548355,91.52542,90.74074,92.59259,83.15863,93.396225,88.8780746,72,72,83,83,76,77,84,3788.32056,3888.01318,3788.32056,3788.32056,3788.32056,3788.32056,63.765934,60.75838,0.0524194241,2.078096,99.69264,21.1530838,6.71645355,25.0351982,40,1350.00012,6000.98438,0,3,0,0,0,4096,231.359375,3864.64063,5.64842224,15.0090008,4.8828125,0,27,32.40798
