,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
05/03/2023 11:28:15,45.3125,28.125,39.84375,50.78125,61.71875,24.21875,41.6666679,71,66,77,73,74,73,78,4086.95239,4086.95239,4086.95239,4086.95239,4186.63428,4186.63428,52.1299362,49.41266,0.067383714,1.37089312,99.68176,16.4043045,5.208637,26.5430145,41,1350.00012,6000.98438,0,0,0,0,0,4096,187.1289,3908.871,4.568577,15.1490011,0,0,28,42.1519623
05/03/2023 11:28:16,24.21875,27.34375,21.875,28.125,50.1488075,24.21875,29.3216763,59,53,56,55,56,56,59,4286.316,4186.63428,4485.67969,4086.95239,4286.316,4286.316,35.8553429,33.1617279,0.09932278,1.25786591,99.68176,16.53527,5.25022125,26.50143,42,1350.00012,6000.98438,0,0,0,0,0,4096,187.1289,3908.871,4.568577,15.012001,0,0,28,42.1519623
05/03/2023 11:28:17,5.4086566,6.9711566,5.4086566,0.78125,13.0769253,6.153846,6.300086,44,43,44,44,45,44,45,4585.361,4585.361,4585.361,4585.361,4585.361,4485.67871,12.0114193,9.793393,0,0.84815073,99.6817551,16.5492554,5.25466156,26.49699,42,1350.00012,6000.98438,0,0,0,0,0,4096,187.1289,3908.871,4.568577,15.092001,0,0,28,42.1519623
05/03/2023 11:28:18,4.615384,1.5504837,0.7692337,1.53846145,5.432689,0.7692337,2.44591236,42,43,43,42,44,43,44,4485.68,4585.362,4585.362,4186.635,4585.362,4585.362,6.380809,4.28528166,0.003553403,0.7821775,99.68178,16.533577,5.24968338,26.5019684,42,1350.00012,6000.98438,0,0,0,0,0,4096,177.230469,3918.76953,4.32691574,15.067,0,0,28,42.1519623
05/03/2023 11:28:19,14.5571117,21.2121239,13.6829853,19.9184189,29.172493,16.77156,19.2191124,46,46,48,47,48,48,48,4186.6333,4186.6333,4585.36035,4186.6333,4485.67871,4585.36035,27.9744339,25.4917068,0.05368449,1.08885634,99.68175,16.6350784,5.28191376,26.469738,42,1350.00012,6000.98438,0,0,0,0,0,4096,177.230469,3918.76953,4.32691574,14.9500008,0,0,28,42.1519623
05/03/2023 11:28:20,7.03125,4.6875,3.125,4.6875,11.71875,7.03125,6.380206,50,65,49,49,48,65,66,4485.679,4186.634,4485.679,4385.99756,4485.679,4186.634,15.3128185,12.913764,0.0232316069,0.929745734,99.68176,16.646904,5.28566742,26.4659843,41,345.000031,405.000031,0,0,0,0,0,4096,177.230469,3918.76953,4.32691574,4.598,0,0,28,42.1519623
05/03/2023 11:28:21,7.837701,15.625,11.71875,10.9375,25.8568535,16.40625,14.73034,45,44,44,44,45,44,45,4685.04346,4286.316,4784.725,4286.316,4784.725,4286.316,23.472311,20.0821342,0.009894352,0.890800953,99.68177,16.7011185,5.30287933,26.4487724,40,345.000031,405.000031,0,0,0,0,0,4096,177.09375,3918.90625,4.323578,1.263,0,0,28,42.1519623
05/03/2023 11:28:22,12.334281,31.25,14.84375,14.0625,20.0520878,15.625,18.0279312,55,61,48,50,46,49,61,4086.95239,4186.63428,4585.36133,4086.95239,4585.36133,4186.63428,23.2436161,19.8221436,0,0.859905541,99.68176,16.9545975,5.38336563,26.3682861,40,300,405.000031,0,0,0,0,0,4096,177.09375,3918.90625,4.323578,1.40200007,0,0,28,42.1519623
05/03/2023 11:28:23,5.46875,8.717757,2.34375,6.25,10.9375,5.46875,6.53107738,48,46,51,48,47,47,51,4286.31543,4485.679,4485.679,4485.679,4485.679,4485.679,13.9187422,10.8574619,0.0299945138,0.7736008,99.6817551,17.001564,5.39827728,26.3533745,41,1350.00012,6000.98438,0,0,0,0,0,4096,183.6914,3912.30859,4.48465347,14.934001,0,190.429688,28,42.1519623
05/03/2023 11:28:24,58.59375,55.78125,58.59375,58.59375,61.71875,57.8125,58.51562,77,69,86,68,78,73,82,4086.95142,4086.95142,4086.95142,4086.95142,4086.95142,4186.6333,54.86066,51.55521,0.4019149,1.95304632,99.68174,17.6012115,5.58867645,26.1629753,42,1350.00012,6000.98438,0,0,0,0,0,4096,194.855469,3901.14453,4.75721359,15.0840006,0,103.515625,28,42.1519623
05/03/2023 11:28:25,96.875,93.75,94.53125,93.75,95.3125,94.53125,94.79167,81,73,88,75,81,76,89,4086.95264,4086.95264,4086.95264,4086.95264,4086.95264,4186.63428,63.21782,60.1970558,0.181781337,1.70175064,99.68177,18.0591354,5.73407364,26.0175781,43,1350.00012,6000.98438,0,1,0,0,0,4096,197.347656,3898.65234,4.818058,15.0660009,0,2.9296875,28,42.1519623
05/03/2023 11:28:26,73.4375,76.5625,75.78125,78.90625,74.21875,74.21875,75.52083,79,69,69,65,62,72,79,4186.63428,4186.63428,4186.63428,4186.63428,4186.63428,4385.998,57.2341843,54.555294,0,1.33866549,99.68177,18.3659058,5.831478,25.9201736,44,1350.00012,6000.98438,0,1,0,0,0,4096,190.75,3905.25,4.65698242,15.286,7.8125,0,28,42.1519623
05/03/2023 11:28:27,34.375,51.5625,39.0625,39.84375,27.34375,49.21875,40.234375,88,79,85,80,86,80,90,3987.27051,4086.95239,3987.27051,4186.63428,4086.95239,4086.95239,57.3120232,54.3845825,0.111513436,1.78087807,99.68176,18.72013,5.94395065,25.8077011,44,1350.00012,6000.98438,0,0,0,0,0,4096,197.472656,3898.52734,4.82111,15.3040009,0,0,28,42.1519623
