,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
05/01/2023 21:08:37,34.4110832,49.538105,40.4157028,38.5681267,30.4849854,41.68591,39.1839867,40,39,43,39,41,41,43,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,1.52325058,1.53107429,1.56766248,1.55475378,99.69257,25.15158,7.986042,23.76561,29,1350.00012,5000.98047,0,4,0,0,2,4096,355.824219,3740.17578,8.687115,13.0050011,9.765625,0,28,39.89095
05/01/2023 21:08:39,84.70149,91.04478,86.56716,94.4029846,91.04478,89.17911,89.49005,39,39,42,39,40,40,42,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,22.31402,18.7118168,0.314383,2.36497784,99.69257,25.4167786,8.070248,23.6814041,30,1350.00012,5000.98047,0,0,0,0,0,4096,403.527344,3692.47266,9.851742,13.0350008,0,495.1172,28,39.89095
05/01/2023 21:08:40,65.625,70.3125,75,78.90625,77.34375,67.1875,72.3958359,38,37,41,38,40,39,41,2392.61426,2392.61426,2292.922,2392.61426,2392.61426,2392.61426,20.61874,17.6426983,0.08366922,1.80143142,99.69227,25.6396942,8.141026,23.6106262,31,1350.00012,5000.98047,0,2,0,0,0,4096,407.21875,3688.78125,9.941864,12.937,0,0,28,39.89095
05/01/2023 21:08:41,28.90625,42.1875,38.28125,46.875,43.75,32.03125,38.671875,37,38,39,40,39,38,42,2392.614,2392.614,2392.614,2392.614,2392.614,2392.614,17.15777,14.4714375,0.0459579863,1.27743828,99.69225,25.6494141,8.144112,23.60754,31,1350.00012,5000.98047,0,0,0,0,0,4096,407.21875,3688.78125,9.941864,12.9220009,0,0,28,39.89095
05/01/2023 21:08:43,59.375,76.5625,70.3125,68.75,69.53125,69.53125,69.0104141,39,39,41,39,43,43,45,2392.61426,2292.92188,2392.61426,2492.3064,2392.61426,2392.61426,21.9973278,18.0266323,0.146790937,1.65069354,99.69225,25.7664185,8.181263,23.5703888,30,345.000031,405.000031,0,0,0,0,0,4096,404.46875,3691.53125,9.874725,1.325,0,0,28,39.89095
05/01/2023 21:08:43,47.65625,53.125,55.46875,52.34375,39.0625,54.6875,50.390625,41,41,44,42,42,43,44,2392.61353,2392.61353,2392.61353,2392.61353,2392.61353,2392.61353,20.55029,16.8289242,0.0443837941,1.28422642,99.69223,25.79615,8.190704,23.5609474,30,345.000031,405.000031,0,5,2,0,0,4096,404.84375,3691.15625,9.883881,1.141,0,0,28,39.89095
05/01/2023 21:08:45,95.38461,97.69231,96.92308,96.92308,99.23077,96.15385,97.05128,42,41,44,40,43,42,44,2392.614,2392.614,2392.614,2392.614,2392.614,2392.614,24.4420433,20.4392433,0.0504367463,1.765966,99.6922455,25.78048,8.18573,23.5659218,31,300,405.000031,0,2,0,0,0,4096,510.78125,3585.21875,12.4702454,1.15500009,0,482.421875,28,39.89095
05/01/2023 21:08:46,46.875,55.46875,54.6875,48.4375,60.15625,51.5625,52.8645859,37,39,42,39,41,38,41,2392.61426,2392.61426,2392.61426,2292.922,2392.61426,2392.61426,19.9912338,16.0670147,0.156047076,1.51409411,99.69227,25.8532181,8.208824,23.5428276,31,300,405.000031,0,9,2,0,5,4096,505.84375,3590.15625,12.3497009,1.268,0,0,28,39.89095
05/01/2023 21:08:46,50.78125,72.65625,64.84375,60.9375,64.84375,52.34375,61.06771,39,39,42,39,42,40,43,2392.61084,2392.61084,2392.61084,2392.61084,2392.61084,2392.61084,21.0340843,17.2459126,0.03740437,1.54498959,99.6921158,25.9002533,8.223759,23.5278931,31,300,405.000031,0,4,1,0,1,4096,506.03125,3589.96875,12.3542786,2.289,0,0,28,39.89095
05/01/2023 21:08:47,49.21875,50,51.5625,48.4375,53.125,46.09375,49.7395821,39,39,42,38,42,39,43,2392.617,2392.617,2392.617,2392.617,2392.617,2392.617,19.93876,16.2839737,0.0432332121,1.28980124,99.6923752,26.0371323,8.26722,23.4844322,31,300,405.000031,0,5,1,0,0,4096,505.28125,3590.71875,12.335968,1.27700007,0,0,28,39.89095
05/01/2023 21:08:49,39.84375,48.4375,33.59375,25,46.875,25,36.4583321,37,39,41,37,41,38,41,2392.614,2392.614,2392.614,2392.614,2392.614,2392.614,18.1183319,14.4850683,0.03890391,1.21964931,99.6922455,26.08052,8.280994,23.4706573,31,300,405.000031,0,2,0,0,0,4096,505.28125,3590.71875,12.335968,1.27800012,0,0,28,39.89095
05/01/2023 21:08:50,36.71875,54.6875,42.1875,39.0625,46.875,35.15625,42.4479179,38,40,42,38,42,40,42,2392.61353,2292.92139,2392.61353,2292.92139,2591.998,2392.61353,19.4117737,15.5274649,0.147039309,1.48886764,99.69224,26.1521912,8.303753,23.4478989,31,300,405.000031,0,0,0,0,0,4096,505.09375,3590.90625,12.33139,1.36100006,0,0,28,39.89095
05/01/2023 21:08:50,18.75,52.34375,46.875,32.8125,45.3125,36.71875,38.8020821,40,39,42,41,40,41,42,2392.6145,2392.6145,2392.6145,2392.6145,2392.6145,2392.6145,18.49009,14.6699047,0.146423161,1.37011552,99.69227,26.2320633,8.329113,23.4225388,31,300,405.000031,0,4,1,0,1,4096,515.09375,3580.90625,12.575531,1.327,0,0,28,39.89095
05/01/2023 21:08:51,28.90625,50.78125,48.4375,47.65625,48.4375,41.40625,44.2708321,39,39,40,38,42,41,41,2392.613,2392.613,2392.613,2392.613,2392.613,2392.613,19.6222363,15.6592884,0.0702514052,1.48498416,99.69221,26.2395477,8.33149,23.4201622,31,300,405.000031,0,4,1,0,2,4096,450.53125,3645.46875,10.9992981,1.422,0,0,28,39.89095
05/01/2023 21:08:52,28.125,60.15625,46.875,38.28125,52.34375,35.9375,43.6197929,41,41,43,43,43,41,43,2392.615,2392.615,2392.615,2392.615,2392.615,2392.615,19.5304775,15.718174,0.0566052645,1.36917055,99.69229,26.3277435,8.359493,23.3921585,32,300,405.000031,0,11,1,0,9,4096,450.53125,3645.46875,10.9992981,2.703,1.953125,482.421875,28,39.89095
05/01/2023 21:08:54,37.5,51.5625,54.6875,53.90625,50,44.53125,48.6979179,39,40,41,40,43,39,41,2392.61426,2392.61426,2492.3064,2392.61426,2392.61426,2392.61426,19.9034023,16.155468,0.0580685474,1.34405375,99.69226,26.3620529,8.370388,23.3812637,32,300,405.000031,0,11,1,0,9,4096,450.53125,3645.46875,10.9992981,1.34,0,0,28,39.89095
05/01/2023 21:08:54,38.28125,51.5625,34.375,32.03125,37.5,33.59375,37.890625,41,41,41,39,40,41,42,2392.614,2392.614,2392.614,2392.614,2392.614,2392.614,18.6115379,14.8124113,0.09784518,1.36631036,99.6922455,26.2498245,8.334751,23.4169,32,300,405.000031,0,0,0,0,0,4096,450.28125,3645.71875,10.9931946,1.338,0,253.90625,28,39.89095
05/01/2023 21:08:56,27.34375,54.6875,37.5,30.46875,40.625,36.71875,37.890625,39,39,41,39,41,40,41,2591.9978,2392.61353,2392.61353,2392.61353,2392.61353,2392.61353,17.56251,13.8016071,0.040818762,1.168259,99.69223,26.6012421,8.446335,23.3053169,32,300,405.000031,0,6,1,0,3,4096,450.28125,3645.71875,10.9931946,1.406,0,0,28,39.89095
