,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
03/26/2023 11:16:35,73.52941,80.8823547,70.5882339,76.47059,71.46206,70.07673,73.8349,62,61,63,62,63,61,63,2292.93018,2392.6228,2492.31543,2492.31543,2292.93018,2392.6228,21.585865,18.6521854,0.0815700144,1.71521974,99.69262,19.1323547,6.07483673,25.676815,52,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,14.3440008,0,0,44,26.188942
03/26/2023 11:16:36,40.83333,55,47.5000038,72.5,52.4999962,42.5,51.8055573,61,62,64,62,63,63,65,2292.93018,2392.6228,2292.93018,2392.6228,2292.93018,2292.93018,20.5731277,16.9100952,0.1463499,1.62621665,99.69262,19.6211014,6.23002243,25.52163,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,5.01,97.65625,1.953125,44,26.188942
03/26/2023 11:16:37,49.21875,68.75,52.71577,65.625,57.4280739,61.71875,59.2427254,61,58,61,63,62,64,64,2292.93213,2292.93213,2292.93213,2292.93213,2292.93213,2392.62476,21.3810749,17.3702564,0.3400995,1.78096986,99.6927,19.6804352,6.248863,25.5027885,53,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,14.3330011,0,0,44,26.188942
03/26/2023 11:16:38,42.6081734,51.7668228,33.8461533,50.7692337,39.23077,46.5504761,44.1286,65,62,58,61,58,60,62,2392.62354,2392.62354,2592.00879,2492.31616,2592.00879,2392.62354,19.1725178,15.798068,0.04344513,1.17200518,99.69265,18.5240021,5.88167572,25.869976,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,5.06000042,68.359375,0.9765625,44,26.188942
03/26/2023 11:16:39,31.7460289,50,38.88889,50.7936478,28.5714264,29.7991028,38.2998466,57,63,59,61,57,63,63,2392.62378,2292.93115,2292.93115,2292.93115,2492.31641,2392.62378,18.12556,14.83391,0.0166504346,1.0332,99.69266,18.522522,5.88120651,25.8704453,52,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,14.262001,0,0,44,26.188942
03/26/2023 11:16:40,16.3341351,40.4687538,38.24519,42.1875,24.1947117,21.09375,30.4206676,60,59,62,59,61,60,62,2492.31543,2292.93018,2292.93018,2292.93018,2392.6228,2392.6228,19.3097,16.3847466,0.007210206,1.03082108,99.69262,18.6013336,5.906231,25.84542,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,5.06900024,91.796875,0.9765625,44,26.188942
03/26/2023 11:16:42,55.22388,64.92537,52.9850731,47.76119,55.22388,60.4477654,56.09453,60,62,57,62,57,58,62,2492.31665,2392.62378,2392.62378,2392.62378,2292.93115,3190.16528,19.5216961,16.0926647,0.005014837,1.30353749,99.6926651,18.7319412,5.9477005,25.8039513,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,5.04000044,73.24219,1.953125,44,26.188942
03/26/2023 11:16:44,24.4171619,46.875,25,14.0625,10.0841341,22.5961571,23.8391571,60,66,57,61,55,58,66,2392.62354,2990.77954,2492.31616,3090.47217,2392.62354,2392.62354,19.7796421,16.5462627,0,1.01307786,99.69265,18.9549713,6.01851654,25.7331352,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,5.01500034,128.90625,1.953125,44,26.188942
03/26/2023 11:16:45,36.41888,44.21052,25.2192974,30.4276352,22.63158,33.68421,32.0986824,57,65,58,56,57,61,61,2492.31665,3987.70679,3389.55078,2392.624,2691.702,2492.31665,19.1639938,15.3906012,0.10542988,1.245275,99.6926651,19.11766,6.07017136,25.68148,52,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,14.1570005,0,0,44,26.188942
