,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
04/17/2023 09:29:55,40.6177177,34.5104866,29.8834438,48.3100243,39.2307625,56.92308,41.5792465,60,59,63,60,62,57,62,3688.62671,3688.62671,3688.62671,4187.09,3788.31934,3688.62671,39.8211021,37.2161636,0.0812893361,1.26673877,99.69261,16.5982361,5.270214,26.4814377,36,1350.00012,6000.98438,0,1,0,0,0,4096,190.539063,3905.461,4.65183258,15.210001,0,0,25,36.5243874
04/17/2023 09:29:56,70,73.07692,64.61538,70.7692261,69.2307739,80,71.28205,63,57,70,72,80,65,80,3788.29663,3788.29663,3788.29663,3788.29663,3788.29663,3788.29663,51.90238,48.91651,0.108654007,1.9778713,99.69202,17.9400482,5.69626236,26.05539,37,1350.00012,6000.98438,0,1,0,0,0,4096,215.59375,3880.40625,5.26351929,15.239,0,280.273438,25,36.5243874
04/17/2023 09:29:56,67.69231,64.61538,63.8461533,69.2307739,61.53846,73.8461456,66.7948761,60,71,60,64,70,70,70,4187.116,3888.03662,3788.34351,4486.19629,3987.73,4286.80957,54.52512,51.6790237,0.03621801,1.84285021,99.6932449,18.2725525,5.801838,25.9498138,38,1350.00012,6000.98438,0,1,0,0,0,4096,224.96875,3871.03125,5.492401,15.1930008,0,0,25,36.5243874
04/17/2023 09:29:57,48.4375,35.15625,28.90625,41.40625,34.375,53.125,40.234375,64,75,67,73,62,61,75,3788.31958,3788.31958,3788.31958,3888.01221,3987.70483,3888.01221,46.6954,43.67514,0.04036841,1.39586,99.69262,18.36428,5.830963,25.9206886,38,405.000031,405.000031,0,2,0,0,2,4096,273.414063,3822.586,6.675148,3.96400023,0,482.421875,25,36.5243874
04/17/2023 09:29:59,28.46154,39.23077,30.76923,30.76923,19.23077,46.1538429,32.435894,71,55,59,72,62,72,73,3888.01245,3788.31982,3788.31982,3788.31982,3987.705,4087.39771,44.644043,40.9966354,0.0137846563,1.26085842,99.69263,18.4580688,5.86074066,25.8909111,37,345.000031,405.000031,0,4,0,0,3,4096,273.414063,3822.586,6.675148,1.82900012,0.9765625,0,25,36.5243874
04/17/2023 09:29:59,32.03125,39.84375,39.0625,39.0625,23.4375,39.84375,35.546875,77,60,64,58,58,58,73,4087.39722,4187.09,3888.012,4286.782,3987.70459,3888.012,42.680687,39.0695953,0.02114464,1.10184121,99.69261,18.3876877,5.838394,25.9132576,38,345.000031,405.000031,0,1,0,0,1,4096,258.1953,3837.80469,6.3035965,2.21800017,0.9765625,482.421875,25,36.5243874
04/17/2023 09:30:00,25,36.71875,28.90625,34.375,18.75,36.71875,30.078125,56,76,62,56,53,56,76,3987.706,3987.706,4286.78369,4286.78369,3987.706,4286.78369,38.0773926,34.5314331,0.0200509168,0.983322442,99.69265,18.536499,5.885643,25.8660088,38,300,405.000031,0,2,0,0,2,4096,247.730469,3848.26953,6.048107,1.66500008,3.90625,0,25,36.5243874
04/17/2023 09:30:01,32.30769,46.1538429,29.2307682,23.0769215,16.9230766,27.6923065,29.2307682,55,80,52,54,50,53,79,4087.39771,4386.47559,3987.705,3987.705,3987.705,4286.78271,38.5762,34.86145,0.0531477779,1.13367879,99.69263,18.6986237,5.93712234,25.81453,38,300,405.000031,0,9,1,0,6,4096,265.605469,3830.39453,6.48450851,1.687,0,483.398438,25,36.5243874
04/17/2023 09:30:02,39.84375,29.6875,21.875,27.34375,32.03125,33.59375,30.7291679,69,68,76,69,74,70,77,3788.31885,3788.31885,3788.31885,3788.31885,3788.31885,3788.31885,41.1175537,37.44711,0.0418097377,1.21188676,99.6926041,18.9159012,6.006111,25.74554,38,300,405.000031,0,3,0,0,2,4096,274.417969,3821.582,6.69965744,1.95700014,0,482.421875,25,36.5243874
04/17/2023 09:30:03,57.6923065,60.76923,53.0769234,52.30769,53.0769234,63.0769272,56.66667,60,74,64,60,61,73,74,3987.70532,3788.32,3788.32,3888.0127,4187.091,4187.091,49.1547852,45.5470543,0.116159253,1.64847541,99.6926346,19.6174164,6.228855,25.5227966,40,1350.00012,6000.98438,0,4,0,0,1,4096,275.464844,3820.53516,6.725216,15.286,0,0,25,36.5243874
04/17/2023 09:30:04,39.2307625,54.6153831,40.76923,50.7692261,42.3076935,39.2307625,44.48718,63,76,77,79,62,63,79,3788.32,3987.70532,4187.091,3888.0127,4187.091,3788.32,50.26932,47.5117874,0.06855853,1.50093138,99.6926346,19.8172379,6.292301,25.45935,41,1350.00012,6000.98438,0,2,0,0,1,4096,269.953125,3826.04688,6.59065247,15.3210011,0,0,25,36.5243874
04/17/2023 09:30:05,36.71875,37.5,28.90625,36.71875,29.6875,22.65625,32.03125,61,56,73,64,68,58,74,3987.70386,3987.70386,3888.01123,4087.39648,3688.626,3688.626,42.0546074,39.3518372,0.068937704,1.36297607,99.6926,19.9342041,6.329441,25.42221,42,1350.00012,6000.98438,0,3,0,0,2,4096,270.8789,3825.121,6.61325455,15.4480009,5.859375,964.84375,25,36.5243874
04/17/2023 09:30:06,52.34375,51.5625,58.59375,53.125,46.875,57.03125,53.25521,60,62,67,62,69,63,69,3289.85767,3289.85767,3289.85767,3289.85767,3289.85767,3090.47241,47.3812332,43.6795273,0.2697993,2.06660128,99.69266,20.1957474,6.412483,25.3391685,41,585,405.000031,0,11,0,0,24,4096,285.011719,3810.98828,6.958294,3.69500017,1.953125,955.0781,25,36.5243874
04/17/2023 09:30:07,66.15385,70,80.7692261,74.61539,71.53846,66.92307,71.66667,55,54,56,54,55,55,56,2492.31519,2492.31519,2492.31519,2492.31519,2492.31519,2492.31519,26.4597149,22.16607,0.104019329,1.92063189,99.6926041,20.54876,6.52457047,25.2270813,41,480.000031,405.000031,0,21,3,0,17,4096,346.425781,3749.57422,8.457661,2.21500015,5.859375,496.09375,25,36.5243874
04/17/2023 09:30:08,56.9230728,55.384613,64.61538,57.6923065,52.30769,59.23077,57.6923027,55,54,57,54,55,55,57,2691.701,2691.701,2691.701,2691.701,2691.701,2691.701,23.0382614,18.5765915,0.232008785,1.86588025,99.69263,20.6493912,6.55652237,25.19513,41,570,405.000031,0,27,5,0,19,4096,375.5,3720.5,9.16748,3.50400019,1.953125,964.84375,25,36.5243874
04/17/2023 09:30:09,47.65625,48.4375,55.46875,47.65625,36.71875,48.4375,47.3958321,51,51,52,52,59,52,57,2891.08643,2891.08643,2891.08643,2891.08643,2891.08643,2990.779,22.52372,19.0377369,0.193026677,1.61697292,99.6926346,20.8411255,6.617401,25.13425,43,1350.00012,6000.98438,0,31,4,0,8,4096,450.578125,3645.42188,11.0004425,15.6230011,13.671875,0,25,36.5243874
04/17/2023 09:30:10,39.0625,43.75,26.5625,41.40625,28.125,33.59375,35.4166679,52,56,60,58,52,52,60,3090.47144,3090.47144,3090.47144,3090.47144,3090.47144,3090.47144,23.1763363,20.6061039,0.0135865789,1.28807735,99.69263,21.1647263,6.72015,25.0315018,43,1350.00012,6000.98438,0,1,0,1,1,4096,484.015625,3611.98438,11.8167877,15.4060011,8.7890625,197.265625,25,36.5243874
04/17/2023 09:30:11,40.1515121,50,54.54545,55.3030319,37.878788,46.9697,47.4747467,56,54,60,57,58,57,59,2791.393,2791.393,2791.393,2791.393,2791.393,2791.393,26.3361073,22.9821472,0.206564322,1.82519317,99.69261,21.4166336,6.80013657,24.9515152,42,750.000061,810.000061,0,10,1,3,6,4096,723.476563,3372.52344,17.663002,8.315001,2.9296875,964.84375,25,36.5243874
