,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
04/18/2023 11:50:48,0.00341534615,0.003373623,0.003027916,0.00290870667,0.0028014183,0.00289678574,0.00306963921,36,35,39,35,37,36,38,2392.6228,2392.6228,2392.6228,2392.6228,2392.6228,2392.6228,0.00241896533,0.00151562318,2.94439769E-06,0.03911252,99.69262,30.61322,9.720203,22.0314484,19,345.000031,405.000031,0,3,0,0,2,4096,292.515625,3803.48438,7.14149475,1.649,0,0.9765625,30,36.16041
04/18/2023 11:50:48,98.71795,97.4359,94.8717957,96.15385,93.5897446,93.45114,95.70339,33,33,35,34,34,33,35,2392.62451,2392.62451,2392.62451,2392.62451,2392.62451,2492.31714,23.01593,19.71331,0.0046950425,1.77902079,99.69268,30.6902618,9.744663,22.0069885,20,1350.00012,5000.98047,0,12,3,0,2,4096,292.515625,3803.48438,7.14149475,12.803,0,0,30,36.16041
04/18/2023 11:50:50,62.5,73.4375,71.09375,63.28125,69.53125,67.96875,67.96875,30,29,32,31,32,30,32,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,20.3553886,17.5346165,0.0336090475,1.86600614,99.69264,30.7753,9.77166748,21.9799843,22,1350.00012,5000.98047,0,0,0,0,0,4096,294.015625,3801.98438,7.178116,12.906,0,0,30,36.16041
04/18/2023 11:50:51,53.84615,64.61538,58.4615364,62.3076935,50,61.53846,58.4615364,27,30,28,27,27,27,30,2791.394,2891.08667,2292.931,1096.61914,996.926453,897.2338,19.3442383,16.6871643,0.02726983,1.49284387,99.69264,30.7133789,9.752007,21.9996452,22,1350.00012,5000.98047,0,0,0,0,0,4096,294.015625,3801.98438,7.178116,13.008,0,0,30,36.16041
04/18/2023 11:50:52,32.8125,35.15625,29.6875,34.375,36.71875,32.8125,33.59375,26,27,29,26,36,27,36,2891.086,2891.086,2891.086,2891.086,2891.086,2791.39331,13.5238056,10.8496418,0.151399985,1.26101613,99.69262,30.7776489,9.772411,21.97924,23,1350.00012,5000.98047,0,0,0,0,0,4096,294.015625,3801.98438,7.178116,12.9590006,0,0,19,36.1648521
04/18/2023 11:50:53,41.40625,31.25,31.25,52.34375,37.5,39.0625,38.8020821,29,33,30,35,30,32,34,2891.08618,2891.08618,2891.08618,2891.08618,2891.08618,2891.08618,21.1987019,17.7601,0.007063732,1.39850855,99.69263,30.9572525,9.829441,21.92221,22,345.000031,405.000031,0,0,0,0,0,4096,295.0039,3800.996,7.202244,2.02100015,147.460938,0.9765625,19,36.1648521
04/18/2023 11:50:54,81.53846,87.69231,85.38461,79.23077,81.53846,81.53846,82.82051,36,38,40,36,39,38,39,2791.391,2791.391,2791.391,2791.391,2891.08374,2891.08374,25.8772545,22.4758034,0.332080573,2.33835053,99.69254,31.03566,9.854336,21.897316,23,1350.00012,5000.98047,0,0,0,0,0,4096,342.828125,3753.17188,8.369827,13.147,0.9765625,16.6015625,19,36.1648521
04/18/2023 11:50:55,63.8461533,60.76923,61.53846,64.61538,71.53846,70,65.38461,36,36,39,37,39,38,41,2791.394,2791.394,2791.394,2791.394,2791.394,2791.394,27.0311337,24.37797,0.02458188,1.63847208,99.69264,30.97837,9.83614349,21.9155083,24,1350.00012,5000.98047,0,5,0,0,2,4096,348.984375,3747.01563,8.520126,13.1050005,79.10156,492.1875,19,36.1648521
04/18/2023 11:50:56,53.125,60.9375,68.75,70.3125,63.28125,70.3125,64.453125,33,32,38,36,35,37,36,2791.394,2791.394,2791.394,2791.394,2891.08667,2791.394,24.3082161,21.44291,0.110823758,1.81293809,99.69264,30.8671112,9.800816,21.9508362,25,1350.00012,5000.98047,0,5,0,0,2,4096,397.175781,3698.82422,9.696674,13.0210009,0,1097.65625,19,36.1648521
