,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
04/14/2023 16:35:14,60.15625,43.75,43.75,42.96875,46.09375,41.40625,46.3541679,37,37,40,36,39,39,40,2392.62134,2392.62134,2392.62134,2392.62134,2392.62134,2392.62134,17.56514,15.26103,0.00310259219,1.1545366,99.69256,17.96112,5.70295334,26.0486984,30,1350.00012,5000.98047,0,0,0,0,0,4096,187.179688,3908.82031,4.56981659,13.4400005,0,0,26,35.8674622
04/14/2023 16:35:15,66.40625,50.78125,51.5625,57.8125,55.46875,53.90625,55.9895859,39,39,40,40,41,40,41,2392.62256,2392.62256,2392.62256,2392.62256,2392.62256,2392.62256,19.3284168,16.5835552,0.00134288706,1.28776765,99.6926041,17.98111,5.709297,26.0423546,30,1350.00012,5000.98047,0,0,0,0,0,4096,192.964844,3903.03516,4.71105576,11.942,0,0,26,35.8674622
04/14/2023 16:35:16,53.90625,64.0625,61.71875,59.375,55.46875,55.05952,58.2651253,40,38,44,39,42,39,43,2392.62256,2392.62256,2392.62256,2392.62256,2392.62256,2492.31519,19.7804337,17.4185047,0.000600083556,1.278838,99.6926041,17.936348,5.69508743,26.0565643,31,1350.00012,5000.98047,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,13.3740005,0,0.9765625,26,35.8674622
04/14/2023 16:35:17,43.75,36.71875,39.0625,34.5238075,41.40625,39.84375,39.217514,39,36,38,36,38,36,39,2492.3147,2492.3147,2392.622,2392.622,2392.622,2691.7,16.7915173,14.5118647,0.00279622572,0.9481029,99.69259,17.3658371,5.513939,26.2377129,31,1350.00012,5000.98047,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,13.307,4.8828125,0,26,35.8674622
04/14/2023 16:35:18,43.067955,35.15625,32.03125,31.1778851,28.90625,32.03125,33.7284737,36,37,38,39,38,39,40,2492.31519,2392.62256,2392.62256,2392.62256,2392.62256,2392.62256,16.54254,13.8314114,0.00194546592,0.871143162,99.6926041,17.3598557,5.512039,26.2396126,30,345.000031,405.000031,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,1.536,0,0,26,35.8674622
04/14/2023 16:35:19,52.34375,42.96875,35.15625,33.82937,27.34375,31.25,37.1486435,36,36,39,38,40,40,40,2392.62183,2592.007,2592.007,2392.62183,2592.007,2392.62183,17.2250423,13.884449,0.00479400624,0.9303923,99.69258,17.4318314,5.534893,26.2167587,30,300,405.000031,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,1.60700011,0,0,26,35.8674622
04/14/2023 16:35:20,27.2836571,28.90625,26.5625,25.6250019,25,21.8269234,25.86739,36,48,37,37,50,37,51,2392.62256,2691.7002,2392.62256,2392.62256,2392.62256,2791.39282,18.3973427,15.0504684,0.0010912742,0.904216945,99.6926041,17.6167,5.5935936,26.1580582,30,300,405.000031,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,1.575,0,0,26,35.8674622
04/14/2023 16:35:21,29.6875,33.59375,21.09375,17.1875,25,23.5491028,25.0186024,37,41,39,37,39,38,40,2392.62183,2492.31445,2392.62183,2392.62183,2592.007,2592.007,19.6387844,16.2364426,0.00218110438,1.04359782,99.69258,17.8494034,5.66748047,26.0841713,30,300,405.000031,0,0,0,0,0,4096,192.773438,3903.22656,4.70638275,1.77300012,0,0,26,35.8674622
04/14/2023 16:35:22,47.65625,49.21875,39.0625,37.5,29.6875,31.14183,39.0444679,37,38,39,38,38,42,42,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,18.6241856,15.0324764,0.0775861144,1.29724717,99.69257,18.1471024,5.762005,25.9896469,31,1350.00012,5000.98047,0,0,0,0,0,4096,193.882813,3902.11719,4.733467,1.96100008,0,0,26,35.8674622
04/14/2023 16:35:23,30.46875,41.73387,36.9791641,39.2857132,27.4801617,40.20337,36.0251732,39,46,39,39,37,38,45,2292.92969,3788.31836,2791.39258,3289.85547,2392.622,2292.92969,18.7627068,16.4522552,0.00203902042,1.12841785,99.69259,18.5771637,5.89855576,25.853096,32,1350.00012,5000.98047,0,1,0,0,0,4096,193.882813,3902.11719,4.733467,13.4210005,0,0,26,35.8674622
04/14/2023 16:35:24,12.5,25.568182,15.6532345,17.96875,20.3125,27.34375,19.8910713,38,38,44,40,43,39,44,2392.62231,2392.62231,2392.62231,2392.62231,2392.62231,2392.62231,18.65142,16.4291878,0.002822505,0.940139651,99.6926,18.6791916,5.93095,25.8207016,32,1350.00012,5000.98047,0,0,0,0,0,4096,193.882813,3902.11719,4.733467,13.460001,0,0,26,35.8674622
04/14/2023 16:35:25,40.625,38.28125,46.5865364,52.7764435,40.23199,38.83413,42.889225,40,41,43,40,41,40,43,2392.62183,2392.62183,2392.62183,2392.62183,2392.62183,2492.31445,19.0732727,16.2171173,0.000795842032,1.24898219,99.69258,18.8905182,5.99805069,25.7536011,31,345.000031,405.000031,0,0,0,0,0,4096,193.882813,3902.11719,4.733467,1.646,0,0,26,35.8674622
