,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
03/28/2023 17:56:40,45.3846169,63.8461533,75.38461,72.30769,47.6923065,44.6153831,58.2051277,38,41,41,43,40,41,41,2392.624,2392.624,2392.624,2392.624,2392.624,2392.624,19.5564079,16.45411,0.00645913556,1.17705786,99.69267,18.2731476,5.802025,25.9496269,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4,43.9453125,0.9765625,29,26.7514343
03/28/2023 17:56:43,62.5,58.59375,76.5625,64.84375,53.90625,65.625,63.671875,40,38,45,41,43,41,44,2392.624,2392.624,2392.624,2392.624,2392.624,2392.624,20.2307339,16.74151,0.0503711477,1.30165911,99.6926651,18.28421,5.805538,25.9461136,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.02800035,91.796875,0.9765625,29,26.7514343
03/28/2023 17:56:43,50,48.4375,75,51.5625,50,44.53125,53.25521,42,40,44,43,43,42,44,2392.6228,2392.6228,2392.6228,2392.6228,2492.31543,2392.6228,19.2212563,16.1230545,0.008774468,1.085419,99.69262,18.2539063,5.79591751,25.9557343,34,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,12.927001,0,0,29,26.7514343
03/28/2023 17:56:44,41.40625,46.09375,60.15625,59.375,34.375,39.84375,46.875,38,42,40,43,43,40,43,2392.62378,2492.31641,2392.62378,2392.62378,2492.31641,2392.62378,18.4557781,15.2431288,0.0464079119,1.05326927,99.69266,18.1117859,5.75079346,26.0008583,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.01,108.398438,1.953125,29,26.7514343
03/28/2023 17:56:46,35.15625,41.72867,47.95867,39.1493073,28.4350166,33.79216,37.7033424,49,43,61,38,57,42,57,2492.316,2492.316,2592.00854,2492.316,2791.3938,2392.62329,18.64358,15.5118074,0.0179523565,0.906022251,99.69264,17.4492645,5.540428,26.2112236,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.09300041,83.00781,1.953125,29,26.7514343
03/28/2023 17:56:46,18.75,21.009613,38.5416641,34.07452,21.6105766,27.2956734,26.8803425,41,40,42,42,43,43,43,2292.931,2392.62354,2492.31616,2492.31616,2492.31616,2492.31616,17.9367676,14.5841789,0.0168694872,1.00861776,99.69264,17.52504,5.56448746,26.1871643,34,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,12.894001,0,0,29,26.7514343
03/28/2023 17:56:47,12.5,30.6051617,25.880455,24.21875,28.3730145,23.4375,24.1691418,41,40,43,39,38,48,48,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,18.6471615,15.8329554,0.0223263372,0.93936944,99.6926346,17.6512756,5.6045723,26.14708,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.11500025,99.609375,1.953125,29,26.7514343
03/28/2023 17:56:48,23.4375,44.7172623,28.0528851,36.69355,15.0793667,20.4365082,28.0695133,51,39,50,40,40,41,50,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,19.2517719,16.0241261,0.0144367516,0.976421833,99.69264,17.7904663,5.64876556,26.1028862,35,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,13.0250006,0,0,29,26.7514343
03/28/2023 17:56:49,18.75,26.51515,37.5,26.2784119,17.5874119,31.1538467,26.2974682,41,45,43,41,40,41,45,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,19.4491959,16.2126751,0.0255081933,1.05008733,99.6926346,17.9217529,5.69045258,26.0612,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.04800034,68.359375,0.9765625,29,26.7514343
03/28/2023 17:56:50,51.5625,48.4375,50,50,42.96875,45.3125,48.046875,43,44,47,44,43,44,45,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,2392.62329,19.5076981,16.151659,0.05122974,1.40429425,99.6926346,18.4358826,5.85369873,25.897953,35,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,12.9520006,0,0,29,26.7514343
