,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space"
03/24/2023 07:09:23,38.28125,66.40625,32.03125,25,28.125,26.5625,36.0677071,42,43,41,38,39,39,42,2591.999,4187.075,3887.99854,2392.6145,2392.6145,2392.6145,17.0984154,13.6214228,0.03666041,0.9766861,99.69227,16.8318939,5.34440231,26.40725,34,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,13.3530006,0,0,29,18.3968811
03/24/2023 07:09:24,13.28125,22.65625,14.0625,7.05605125,13.3060513,8.59375,13.1593046,39,43,40,38,37,39,43,2492.30664,2392.61426,3190.15234,2492.30664,2292.922,2392.61426,13.394351,10.7250252,0.04009207,0.864817,99.69226,16.95514,5.38353729,26.3681145,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.453,107.421875,0.9765625,29,18.3968811
03/24/2023 07:09:26,28.44742,32.5396767,21.192955,19.0476189,14.84375,13.3556547,21.5711765,36,37,36,36,37,37,37,2990.76831,2392.6145,2392.6145,2392.6145,2392.6145,2392.6145,16.6218128,13.2977686,0.03964427,0.921207666,99.692276,17.0420761,5.41114044,26.3405113,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.453,115.234375,1.953125,29,18.3968811
03/24/2023 07:09:27,33.59375,27.7524,28.125,18.4615364,24.2067337,10.15625,23.71595,42,42,46,41,41,39,42,2492.30664,2392.6145,2392.6145,2392.6145,2392.6145,2392.6145,16.4407578,13.1461077,0.0463680662,1.02431273,99.69227,17.1852341,5.45659637,26.2950554,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.432,100.585938,1.953125,29,18.3968811
03/24/2023 07:09:27,40.625,41.5178528,38.28125,20.3125,15.625,13.28125,28.2738037,44,45,41,39,38,39,43,2492.3064,2492.3064,2591.99878,2392.61426,2691.691,2392.61426,18.4356518,15.13339,0.0177972,0.8944156,99.69226,17.2217712,5.468197,26.2834549,35,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,13.147,0,0,29,18.3968811
03/24/2023 07:09:28,44.6056557,33.59375,24.21875,13.7096767,3.13739777,4.6875,20.6587849,54,40,41,39,38,40,55,2691.69116,2492.30664,2492.30664,2891.07568,2591.99878,2492.30664,17.98203,15.0226612,0.004179364,0.8287806,99.69227,17.2201767,5.46768951,26.2839622,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.50800037,139.648438,1.953125,29,18.3968811
03/24/2023 07:09:30,28.5984879,27.0833378,15.6009617,9.848488,13.9903841,10.1810513,17.5504513,39,47,40,39,39,40,46,2591.99854,2791.383,2591.99854,3987.69019,2492.3064,2691.69067,16.6076374,13.3960085,0.005126767,0.8093883,99.69225,17.318634,5.498951,26.2527,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.56900024,101.5625,1.953125,29,18.3968811
03/24/2023 07:09:30,12.5,37.5,16.40625,10.9623013,7.8125,6.25,15.2385054,48,52,39,40,39,40,52,2691.69141,2691.69141,2392.6145,3090.46045,2691.69141,2292.922,19.75886,16.48727,0.0182520915,0.8452919,99.69227,17.4584122,5.543335,26.2083168,35,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,13.2990007,0,0,29,18.3968811
03/24/2023 07:09:31,10.9627008,47.02621,17.1875,10.4326668,17.2127,10.2066517,18.8380661,43,62,50,42,39,42,53,2691.69116,4884.921,2292.922,2292.922,2492.30664,3588.92139,19.2836246,16.1128139,0.0766677856,1.06496346,99.69226,17.6209412,5.59494,26.1567116,0,1350.00012,5000.98047,0,0,0,0,0,4096,145,3951,3.540039,4.556,141.601563,2.9296875,29,18.3968811
